Original Text,Subject,Relation,Object
Marissa Mayer announced a new edge computing at SpaceX.,Mayer,announced,SpaceX.
Apple released a quantum computing that improves edge computing.,that,released,computing
"Records show battle happened in Rome, Italy around 1664-06-18.",battle,show,1664
"Kamala Harris met leaders from Congress in Geneva, Switzerland to discuss policy announcement.",Harris,met,announcement
Max Planck Institute announced a particle discovery that impacts genetics.,that,announced,genetics
A study on particle discovery led by Isaac Newton was published on 1991-04-05.,study,published,1991
"Cristiano Ronaldo led Wimbledon to victory at the season opener in Melbourne, Australia.",Ronaldo,led,Australia
"George Washington Carver led trials of yield improvement study in Punjab, India.",Carver,led,Punjab
"Barack Obama announced policy changes regarding education at Washington, USA.",Obama,announced,Washington
"Angela Merkel met leaders from Parliament in New Delhi, India to discuss policy announcement.",India,met,announcement
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Merkel,announced,Geneva
"CIMMYT introduced a yield improvement study to improve yields in Iowa, USA.",CIMMYT,introduced,Iowa
restructuring led to restructuring at Goldman Sachs.,restructuring,led,Sachs
"Leonardo da Vinci premiered a symphony at Vienna, Austria.",Vinci,premiered,Vienna
"M.S. Dhoni led Wimbledon to victory at the season opener in London, UK.",Dhoni,led,London
CERN announced a field research that impacts biology.,that,announced,biology
"Tesla opened a new office in Frankfurt, Germany to expand manufacturing.",Tesla,opened,manufacturing
Sundar Pichai became CEO of Tesla following the acquisition.,Pichai,became,acquisition
A breakthrough in robotics was reported by Apple.,breakthrough,reported,Apple
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Iowa, USA.",Ltd,introduced,Iowa
"Researchers at Harvard University reported a particle discovery in Cape Town, South Africa.",Researchers,reported,Town
"Barack Obama met leaders from United Nations in Washington, USA to discuss policy announcement.",Obama,met,announcement
"Kamala Harris announced policy changes regarding trade at Geneva, Switzerland.",Harris,announced,Geneva
FC Barcelona announced a new tournament for 2024-2025.,Barcelona,announced,2024
Sundar Pichai announced a new quantum computing at SpaceX.,Pichai,announced,SpaceX.
CERN announced a field research that impacts climatology.,that,announced,climatology
"Vincent van Gogh premiered a exhibition at Madrid, Spain.",Gogh,premiered,Madrid
A study on particle discovery led by Jane Goodall was published on 1500-11-03.,study,published,1500
"Samsung opened a new office in Seoul, South Korea to expand manufacturing.",Samsung,opened,manufacturing
Intel released a robotics that improves 5G networks.,that,released,networks
restructuring led to restructuring at Tesla.,restructuring,led,Tesla
"Kamala Harris met leaders from Congress in Washington, USA to discuss policy announcement.",Harris,met,announcement
NBA announced a new season opener for 2023-2024.,NBA,announced,2023
"M. S. Swaminathan led trials of pest control trial in Lima, Peru.",Swaminathan,led,Lima
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Obama,announced,Geneva
"Barack Obama met leaders from Parliament in Washington, USA to discuss policy announcement.",Obama,met,announcement
"A famous opera by Vincent van Gogh is housed in Tate Modern in Madrid, Spain.",opera,housed,Madrid
"Satya Nadella led the launch of a AI-driven sensors in Silicon Valley, USA.",Nadella,led,Valley
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Pichai,became,acquisition
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Researchers,reported,Geneva
Sundar Pichai became CEO of Tesla following the acquisition.,Pichai,became,acquisition
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Institute,introduced,Punjab
A study on climate study led by Albert Einstein was published on 1771-02-18.,study,published,1771
"Wangari Maathai led trials of irrigation technique adoption in Lima, Peru.",Maathai,led,Lima
"A summit was passed by Parliament impacting Geneva, Switzerland.",summit,passed,Geneva
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Carson,led,Punjab
NBA announced a new tournament for 2022-2023.,NBA,announced,2022
