Text,People,Organizations,Locations,Date,Event,Domain,clean_text,processed_text
Marissa Mayer announced a new edge computing at SpaceX.,Marissa Mayer,SpaceX,"Stockholm, Sweden",1856-08-04,edge computing,Technology,marissa mayer announced a new edge computing at spacex,marissa mayer announced new edge computing spacex
Apple released a quantum computing that improves edge computing.,Marissa Mayer,Apple,"Stockholm, Sweden",2017-01-20,quantum computing,Technology,apple released a quantum computing that improves edge computing,apple released quantum computing improves edge computing
"Records show battle happened in Rome, Italy around 1664-06-18.",Mahatma Gandhi,Roman Senate,"Rome, Italy",1664-06-18,battle,History,records show battle happened in rome italy around,record show battle happened rome italy around
"Kamala Harris met leaders from Congress in Geneva, Switzerland to discuss policy announcement.",Kamala Harris,Congress,"Geneva, Switzerland",1806-11-08,policy announcement,Politics,kamala harris met leaders from congress in geneva switzerland to discuss policy announcement,kamala harris met leader congress geneva switzerland discus policy announcement
Max Planck Institute announced a particle discovery that impacts genetics.,Rosalind Franklin,Max Planck Institute,"Geneva, Switzerland",1934-02-27,particle discovery,Science,max planck institute announced a particle discovery that impacts genetics,max planck institute announced particle discovery impact genetics
A study on particle discovery led by Isaac Newton was published on 1991-04-05.,Isaac Newton,NASA,"Cambridge, UK",1991-04-05,particle discovery,Science,a study on particle discovery led by isaac newton was published on,study particle discovery led isaac newton published
"Cristiano Ronaldo led Wimbledon to victory at the season opener in Melbourne, Australia.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",2012-09-26,season opener,Sports,cristiano ronaldo led wimbledon to victory at the season opener in melbourne australia,cristiano ronaldo led wimbledon victory season opener melbourne australia
"George Washington Carver led trials of yield improvement study in Punjab, India.",George Washington Carver; Norman Borlaug,AgriTech Ltd,"Punjab, India",1549-12-14,yield improvement study,Agriculture,george washington carver led trials of yield improvement study in punjab india,george washington carver led trial yield improvement study punjab india
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,Congress,"Washington, USA",1597-09-11,bill passage,Politics,barack obama announced policy changes regarding education at washington usa,barack obama announced policy change regarding education washington usa
"Angela Merkel met leaders from Parliament in New Delhi, India to discuss policy announcement.",Angela Merkel,Parliament,"New Delhi, India",1881-11-18,policy announcement,Politics,angela merkel met leaders from parliament in new delhi india to discuss policy announcement,angela merkel met leader parliament new delhi india discus policy announcement
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,European Union,"Geneva, Switzerland",1932-01-15,policy announcement,Politics,angela merkel announced policy changes regarding healthcare at geneva switzerland,angela merkel announced policy change regarding healthcare geneva switzerland
"CIMMYT introduced a yield improvement study to improve yields in Iowa, USA.",M. S. Swaminathan,CIMMYT,"Iowa, USA",1970-06-16,yield improvement study,Agriculture,cimmyt introduced a yield improvement study to improve yields in iowa usa,cimmyt introduced yield improvement study improve yield iowa usa
restructuring led to restructuring at Goldman Sachs.,Jamie Dimon,Goldman Sachs,"Mumbai, India",1536-07-14,restructuring,Business,restructuring led to restructuring at goldman sachs,restructuring led restructuring goldman sachs
"Leonardo da Vinci premiered a symphony at Vienna, Austria.",Leonardo da Vinci,Sydney Opera House,"Vienna, Austria",1876-11-12,symphony,Arts,leonardo da vinci premiered a symphony at vienna austria,leonardo da vinci premiered symphony vienna austria
"M.S. Dhoni led Wimbledon to victory at the season opener in London, UK.",M.S. Dhoni,Wimbledon,"London, UK",1745-05-19,season opener,Sports,ms dhoni led wimbledon to victory at the season opener in london uk,m dhoni led wimbledon victory season opener london uk
CERN announced a field research that impacts biology.,Jane Goodall,CERN; NASA,"Cape Town, South Africa",1747-09-15,field research,Science,cern announced a field research that impacts biology,cern announced field research impact biology
"Tesla opened a new office in Frankfurt, Germany to expand manufacturing.",Tim Cook,Tesla,"Frankfurt, Germany",1752-01-30,acquisition,Business,tesla opened a new office in frankfurt germany to expand manufacturing,tesla opened new office frankfurt germany expand manufacturing
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai; Tim Cook,Tesla,"New York, USA",1734-05-22,acquisition,Business,sundar pichai became ceo of tesla following the acquisition,sundar pichai became ceo tesla following acquisition
A breakthrough in robotics was reported by Apple.,Grace Hopper; Sundar Pichai,Apple,"Shenzhen, China",1837-09-19,AI-driven sensors,Technology,a breakthrough in robotics was reported by apple,breakthrough robotics reported apple
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Iowa, USA.",Norman Borlaug; M. S. Swaminathan,AgriTech Ltd,"Iowa, USA",1983-02-01,irrigation technique adoption,Agriculture,agritech ltd introduced a irrigation technique adoption to improve yields in iowa usa,agritech ltd introduced irrigation technique adoption improve yield iowa usa
"Researchers at Harvard University reported a particle discovery in Cape Town, South Africa.",Isaac Newton,Harvard University,"Cape Town, South Africa",1664-10-17,particle discovery,Science,researchers at harvard university reported a particle discovery in cape town south africa,researcher harvard university reported particle discovery cape town south africa
"Barack Obama met leaders from United Nations in Washington, USA to discuss policy announcement.",Barack Obama,United Nations,"Washington, USA",1796-01-08,policy announcement,Politics,barack obama met leaders from united nations in washington usa to discuss policy announcement,barack obama met leader united nation washington usa discus policy announcement
"Kamala Harris announced policy changes regarding trade at Geneva, Switzerland.",Kamala Harris,European Union,"Geneva, Switzerland",1813-10-29,summit,Politics,kamala harris announced policy changes regarding trade at geneva switzerland,kamala harris announced policy change regarding trade geneva switzerland
FC Barcelona announced a new tournament for 2024-2025.,Cristiano Ronaldo,FC Barcelona,"Madrid, Spain",1845-10-12,tournament,Sports,fc barcelona announced a new tournament for,fc barcelona announced new tournament
Sundar Pichai announced a new quantum computing at SpaceX.,Sundar Pichai,SpaceX,"London, UK",1730-01-04,quantum computing,Technology,sundar pichai announced a new quantum computing at spacex,sundar pichai announced new quantum computing spacex
CERN announced a field research that impacts climatology.,Rosalind Franklin,CERN,"Cape Town, South Africa",1677-06-20,field research,Science,cern announced a field research that impacts climatology,cern announced field research impact climatology
"Vincent van Gogh premiered a exhibition at Madrid, Spain.",Vincent van Gogh; Pablo Picasso,Royal Academy; Tate Modern,"Madrid, Spain",1763-03-18,exhibition,Arts,vincent van gogh premiered a exhibition at madrid spain,vincent van gogh premiered exhibition madrid spain
A study on particle discovery led by Jane Goodall was published on 1500-11-03.,Jane Goodall,Harvard University,"Geneva, Switzerland",1500-11-03,particle discovery,Science,a study on particle discovery led by jane goodall was published on,study particle discovery led jane goodall published
"Samsung opened a new office in Seoul, South Korea to expand manufacturing.",Indra Nooyi,Samsung,"Seoul, South Korea",1984-02-24,restructuring,Business,samsung opened a new office in seoul south korea to expand manufacturing,samsung opened new office seoul south korea expand manufacturing
Intel released a robotics that improves 5G networks.,Marissa Mayer,Intel,"Silicon Valley, USA",1933-12-29,robotics,Technology,intel released a robotics that improves g networks,intel released robotics improves g network
restructuring led to restructuring at Tesla.,Tim Cook,Tesla,"New York, USA",1701-09-29,restructuring,Business,restructuring led to restructuring at tesla,restructuring led restructuring tesla
"Kamala Harris met leaders from Congress in Washington, USA to discuss policy announcement.",Kamala Harris,Congress,"Washington, USA",1568-07-30,policy announcement,Politics,kamala harris met leaders from congress in washington usa to discuss policy announcement,kamala harris met leader congress washington usa discus policy announcement
NBA announced a new season opener for 2023-2024.,Lionel Messi; Cristiano Ronaldo,NBA,"Melbourne, Australia",1522-10-22,season opener,Sports,nba announced a new season opener for,nba announced new season opener
"M. S. Swaminathan led trials of pest control trial in Lima, Peru.",M. S. Swaminathan; Norman Borlaug,FAO,"Lima, Peru",1858-06-12,pest control trial,Agriculture,m s swaminathan led trials of pest control trial in lima peru,swaminathan led trial pest control trial lima peru
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",1842-04-27,policy announcement,Politics,barack obama announced policy changes regarding climate at geneva switzerland,barack obama announced policy change regarding climate geneva switzerland
"Barack Obama met leaders from Parliament in Washington, USA to discuss policy announcement.",Barack Obama; Angela Merkel,Parliament,"Washington, USA",1792-11-30,policy announcement,Politics,barack obama met leaders from parliament in washington usa to discuss policy announcement,barack obama met leader parliament washington usa discus policy announcement
"A famous opera by Vincent van Gogh is housed in Tate Modern in Madrid, Spain.",Vincent van Gogh,Tate Modern,"Madrid, Spain",1521-12-23,opera,Arts,a famous opera by vincent van gogh is housed in tate modern in madrid spain,famous opera vincent van gogh housed tate modern madrid spain
"Satya Nadella led the launch of a AI-driven sensors in Silicon Valley, USA.",Satya Nadella,Intel,"Silicon Valley, USA",1587-08-01,AI-driven sensors,Technology,satya nadella led the launch of a aidriven sensors in silicon valley usa,satya nadella led launch aidriven sensor silicon valley usa
