Text,People,Organizations,Locations,Date,Event,Domain
Marissa Mayer announced a new edge computing at SpaceX.,Marissa Mayer,SpaceX,"Stockholm, Sweden",1856-08-04,edge computing,Technology
Apple released a quantum computing that improves edge computing.,Marissa Mayer,Apple,"Stockholm, Sweden",2017-01-20,quantum computing,Technology
"Records show battle happened in Rome, Italy around 1664-06-18.",Mahatma Gandhi,Roman Senate,"Rome, Italy",1664-06-18,battle,History
"Kamala Harris met leaders from Congress in Geneva, Switzerland to discuss policy announcement.",Kamala Harris,Congress,"Geneva, Switzerland",1806-11-08,policy announcement,Politics
Max Planck Institute announced a particle discovery that impacts genetics.,Rosalind Franklin,Max Planck Institute,"Geneva, Switzerland",1934-02-27,particle discovery,Science
A study on particle discovery led by Isaac Newton was published on 1991-04-05.,Isaac Newton,NASA,"Cambridge, UK",1991-04-05,particle discovery,Science
"Cristiano Ronaldo led Wimbledon to victory at the season opener in Melbourne, Australia.",Cristiano Ronaldo,Wimbledon,"Melbourne, Australia",2012-09-26,season opener,Sports
"George Washington Carver led trials of yield improvement study in Punjab, India.",George Washington Carver; Norman Borlaug,AgriTech Ltd,"Punjab, India",1549-12-14,yield improvement study,Agriculture
"Barack Obama announced policy changes regarding education at Washington, USA.",Barack Obama,Congress,"Washington, USA",1597-09-11,bill passage,Politics
"Angela Merkel met leaders from Parliament in New Delhi, India to discuss policy announcement.",Angela Merkel,Parliament,"New Delhi, India",1881-11-18,policy announcement,Politics
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,European Union,"Geneva, Switzerland",1932-01-15,policy announcement,Politics
"CIMMYT introduced a yield improvement study to improve yields in Iowa, USA.",M. S. Swaminathan,CIMMYT,"Iowa, USA",1970-06-16,yield improvement study,Agriculture
restructuring led to restructuring at Goldman Sachs.,Jamie Dimon,Goldman Sachs,"Mumbai, India",1536-07-14,restructuring,Business
"Leonardo da Vinci premiered a symphony at Vienna, Austria.",Leonardo da Vinci,Sydney Opera House,"Vienna, Austria",1876-11-12,symphony,Arts
"M.S. Dhoni led Wimbledon to victory at the season opener in London, UK.",M.S. Dhoni,Wimbledon,"London, UK",1745-05-19,season opener,Sports
CERN announced a field research that impacts biology.,Jane Goodall,CERN; NASA,"Cape Town, South Africa",1747-09-15,field research,Science
"Tesla opened a new office in Frankfurt, Germany to expand manufacturing.",Tim Cook,Tesla,"Frankfurt, Germany",1752-01-30,acquisition,Business
Sundar Pichai became CEO of Tesla following the acquisition.,Sundar Pichai; Tim Cook,Tesla,"New York, USA",1734-05-22,acquisition,Business
A breakthrough in robotics was reported by Apple.,Grace Hopper; Sundar Pichai,Apple,"Shenzhen, China",1837-09-19,AI-driven sensors,Technology
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Iowa, USA.",Norman Borlaug; M. S. Swaminathan,AgriTech Ltd,"Iowa, USA",1983-02-01,irrigation technique adoption,Agriculture
"Researchers at Harvard University reported a particle discovery in Cape Town, South Africa.",Isaac Newton,Harvard University,"Cape Town, South Africa",1664-10-17,particle discovery,Science
"Barack Obama met leaders from United Nations in Washington, USA to discuss policy announcement.",Barack Obama,United Nations,"Washington, USA",1796-01-08,policy announcement,Politics
"Kamala Harris announced policy changes regarding trade at Geneva, Switzerland.",Kamala Harris,European Union,"Geneva, Switzerland",1813-10-29,summit,Politics
FC Barcelona announced a new tournament for 2024-2025.,Cristiano Ronaldo,FC Barcelona,"Madrid, Spain",1845-10-12,tournament,Sports
Sundar Pichai announced a new quantum computing at SpaceX.,Sundar Pichai,SpaceX,"London, UK",1730-01-04,quantum computing,Technology
CERN announced a field research that impacts climatology.,Rosalind Franklin,CERN,"Cape Town, South Africa",1677-06-20,field research,Science
"Vincent van Gogh premiered a exhibition at Madrid, Spain.",Vincent van Gogh; Pablo Picasso,Royal Academy; Tate Modern,"Madrid, Spain",1763-03-18,exhibition,Arts
A study on particle discovery led by Jane Goodall was published on 1500-11-03.,Jane Goodall,Harvard University,"Geneva, Switzerland",1500-11-03,particle discovery,Science
"Samsung opened a new office in Seoul, South Korea to expand manufacturing.",Indra Nooyi,Samsung,"Seoul, South Korea",1984-02-24,restructuring,Business
Intel released a robotics that improves 5G networks.,Marissa Mayer,Intel,"Silicon Valley, USA",1933-12-29,robotics,Technology
restructuring led to restructuring at Tesla.,Tim Cook,Tesla,"New York, USA",1701-09-29,restructuring,Business
"Kamala Harris met leaders from Congress in Washington, USA to discuss policy announcement.",Kamala Harris,Congress,"Washington, USA",1568-07-30,policy announcement,Politics
